,job_offer,link,company,redshift,sql,kpi,py,xp,R,business,insights,tableau,looker,qlik,pbi,ab,stakeholders,quant,oper,mgmt,location,Seniority
19,Commercial Data Insight Analyst,https://uk.linkedin.com/jobs/view/commercial-data-insight-analyst-at-virgin-media-1910393007?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Virgin Media,0,3,0,0,1,0,1,3,0,0,0,0,0,1,0,1,6,London,Not determined
20,Data Analyst - Contract role - London,https://uk.linkedin.com/jobs/view/data-analyst-contract-role-london-at-wmrecruit-1942146647?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,WMRecruit ,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,London,Not determined
21,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-wevee-1912731691?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,WeVee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,London,Not determined
22,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-charityjob-1946409642?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,CharityJob,0,0,0,0,7,1,1,2,0,0,0,0,0,0,5,0,1,London,Not determined
23,Data Analyst - Simulation,https://uk.linkedin.com/jobs/view/data-analyst-simulation-at-ocado-group-1907764619?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Ocado Group,0,2,0,2,3,0,5,1,2,0,0,0,0,4,0,1,0,London,Not determined
24,"Data Analyst, UK Marketing",https://uk.linkedin.com/jobs/view/data-analyst-uk-marketing-at-peloton-interactive-1908897132?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=25&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Peloton Interactive,0,2,3,1,5,1,5,0,1,5,0,0,0,2,0,1,1,London,Not determined
25,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-oviva-1914561273?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Oviva,0,1,1,2,5,0,6,1,0,0,0,0,0,1,0,0,3,London,Not determined
26,Data Analyst - Maritime,https://uk.linkedin.com/jobs/view/data-analyst-maritime-at-informa-1909048346?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Informa,0,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,2,London,Not determined
27,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-hero%C2%AE-1902429266?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,HERO®,0,2,0,0,5,0,5,1,0,0,0,0,0,1,0,0,2,London,Not determined
28,Data Analyst - REMOTE,https://uk.linkedin.com/jobs/view/data-analyst-remote-at-ipresence-ca-1915197603?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,iPresence.ca,0,3,0,0,1,1,4,3,0,0,0,0,2,0,1,0,3,London,Not determined
29,Junior Data Analyst,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-iris-1909823452?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Iris,0,1,0,1,7,1,4,2,1,0,1,0,0,0,0,0,0,London,Junior Position
30,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-wevee-1912731691?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,WeVee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,London,Not determined
31,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-datahead-1910344960?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,DATAHEAD,0,0,0,2,1,1,3,1,1,0,0,0,0,2,0,0,0,London,Not determined
32,Bloomberg Intelligence - Equity Analyst - ESG,https://uk.linkedin.com/jobs/view/bloomberg-intelligence-equity-analyst-esg-at-bloomberg-lp-1704697782?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Bloomberg LP,0,0,0,0,4,0,3,5,0,0,0,0,0,2,1,0,4,London,Not determined
33,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-bt-1910176968?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,BT,0,1,0,0,5,0,5,0,1,0,1,0,0,2,0,0,1,London,Not determined
34,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-lloyds-1941713095?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Lloyds,0,1,1,1,1,1,6,6,0,0,2,0,0,3,0,0,9,London,Not determined
35,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-butternut-box-1926591285?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Butternut Box,0,4,0,0,5,0,2,0,1,1,0,0,0,1,0,1,1,London,Not determined
36,Junior Data Analyst,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-knauf-energy-solutions-1894803797?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Error scraping company,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,London,Junior Position
37,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-bonhams-1907743884?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Bonhams,0,1,0,0,3,0,5,2,0,0,0,0,1,0,2,1,1,London,Not determined
38,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-fxc-intelligence-1897590665?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,FXC Intelligence,0,1,0,1,5,0,0,0,1,0,0,0,0,1,0,1,0,London,Not determined
39,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-united-trust-bank-limited-1919612515?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,United Trust Bank Limited,0,1,0,1,4,1,8,2,0,0,0,0,0,0,0,0,2,London,Not determined
40,Data Analytics Engineer,https://uk.linkedin.com/jobs/view/data-analytics-engineer-at-piccadilly-one-1930474694?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Piccadilly One,0,4,0,0,5,0,3,0,0,0,0,0,0,0,0,1,1,London,Not determined
41,CRM Data Analyst,https://uk.linkedin.com/jobs/view/crm-data-analyst-at-aesop-1904399884?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Aesop,0,1,0,1,5,1,5,2,1,0,0,0,0,2,0,0,1,London,Not determined
42,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-emr-specialist-in-marketing-recruitment-1945365258?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,EMR | Specialist in Marketing Recruitment,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,London,Not determined
