,job_title,company,salary,location,salary_mean,Temporality,Annualized,Seniority
217,Business Data Analyst - Por mes,TechnipFMC,1.602 €/mes,Paris,2,Monthly,24000,Not determined
218,Business Data Analyst,numberly (1000mercis group),38.251 €/año,Paris,38,Yearly,38000,Not determined
219,Business Data Analyst,Withings,35.100 €/año,Paris,35,Yearly,35000,Not determined
220,Business Data Analyst - Proveedor de servicios por mes,IPG Mediabrands,1.888 €/mes,Paris,2,Monthly,24000,Not determined
221,Business Data Analyst,Data2Decisions,30.312 €/año,Paris,30,Yearly,30000,Not determined
222,Junior Data Analyst - Proveedor de servicios,Ubisoft,36.812 €/año,Paris,37,Yearly,37000,Junior Position
223,Junior Data Analyst,Criteo,42.433 €/año,Paris,42,Yearly,42000,Junior Position
224,Junior Data Analyst - Por mes,Camaïeu,1.543 €/mes,Paris,2,Monthly,24000,Junior Position
225,Junior Data Analyst,Artefact,38.000 €/año,Paris,38,Yearly,38000,Junior Position
226,Junior Data Analyst,Reed Exhibitions,38.055 €/año,Paris,38,Yearly,38000,Junior Position
227,Junior Data Analyst - Por mes,Aptar,1.725 €/mes,Paris,2,Monthly,24000,Junior Position
228,Junior Data Analyst,GroupM,37.128 €/año,Paris,37,Yearly,37000,Junior Position
229,Junior Data Analyst,Groupe Estia,37.120 €/año,Paris,37,Yearly,37000,Junior Position
230,Marketing Data Analyst - Becario por mes,Dassault Systemes,979 €/mes,Paris,979,Monthly,11748,Internship
231,Marketing Data Analyst,Ubisoft,41.422 €/año,Paris,41,Yearly,41000,Not determined
232,Marketing Data Analyst - Por mes,JCDecaux,1.552 €/mes,Paris,2,Monthly,24000,Not determined
233,Data Analyst Intern - Por mes,Amazon,1.425 €/mes,Paris,1,Monthly,12000,Internship
234,Data Analyst Intern - Por mes,Criteo,1.522 €/mes,Paris,2,Monthly,24000,Internship
235,Data Analyst Intern,SoLocal Group,1.264 €/año,Paris,1,Yearly,1000,Internship
236,Data Analyst Intern - Por mes,Fifty-Five,1.254 €/mes,Paris,1,Monthly,12000,Internship
237,Data Analyst Intern - Por mes,Frichti,828 €/mes,Paris,828,Monthly,9936,Internship
238,Data Analyst Intern - Por mes,monAlbumPhoto.fr,834 €/mes,Paris,834,Monthly,10008,Internship
239,Data Analyst Intern - Por mes,Monbanquet.fr,816 €/mes,Paris,816,Monthly,9792,Internship
240,Associate Data Analyst - Becario por mes,Fifty-Five,963 €/mes,Paris,963,Monthly,11556,Internship
241,Master Data Analyst,Schneider Electric,57.800 €/año,Paris,58,Yearly,58000,Not determined
242,Market Data Analyst,Groupe Crédit Agricole,37.181 €/año,Paris,37,Yearly,37000,Not determined
243,Big Data Analyst - Becario por mes,Banque de France,1.100 €/mes,Paris,1,Monthly,12000,Internship
244,Big Data Analyst,Ericsson-Worldwide,36.740 €/año,Paris,37,Yearly,37000,Not determined
245,Statistical Data Analyst - Becario por mes,Air Liquide,1.151 €/mes,Paris,1,Monthly,12000,Internship
246,BI Data Analyst - Becario por mes,Kaymu,835 €/mes,Paris,835,Monthly,10020,Internship
247,Language Data Analyst - Por mes,TransPerfect,1.222 €/mes,Paris,1,Monthly,12000,Not determined
248,Internship Data Analyst - Por mes,AXA,1.905 €/mes,Paris,2,Monthly,24000,Internship
249,Internship Data Analyst - Por mes,Wavestone,1.705 €/mes,Paris,2,Monthly,24000,Internship
250,Internship Data Analyst - Por mes,Air Liquide,1.217 €/mes,Paris,1,Monthly,12000,Internship
251,Internship Data Analyst - Por mes,Criteo,1.500 €/mes,Paris,2,Monthly,24000,Internship
252,Internship Data Analyst - Por mes,GE Healthcare,1.504 €/mes,Paris,2,Monthly,24000,Internship
253,Internship Data Analyst - Por mes,Contentsquare,1.010 €/mes,Paris,1,Monthly,12000,Internship
254,Internship Data Analyst - Por mes,Ekimetrics,1.424 €/mes,Paris,1,Monthly,12000,Internship
255,Internship Data Analyst - Por mes,Publicis ETO,1.014 €/mes,Paris,1,Monthly,12000,Internship
256,Internship Data Analyst - Por mes,Arcane (France),1.303 €/mes,Paris,1,Monthly,12000,Internship
257,Internship Data Analyst - Por mes,Mixdata,1.014 €/mes,Paris,1,Monthly,12000,Internship
258,Internship Data Analyst - Por mes,TradeLab,1.003 €/mes,Paris,1,Monthly,12000,Internship
259,Internship Data Analyst - Por mes,Myriad (France),569 €/mes,Paris,569,Monthly,6828,Internship
260,Risk Data Analyst,Newedge,36.511 €/año,Paris,37,Yearly,37000,Not determined
261,CRM Data Analyst,Audika,50.721 €/año,Paris,51,Yearly,51000,Not determined
262,Assistant Data Analyst - Becario por mes,Orange,1.419 €/mes,Paris,1,Monthly,12000,Internship
263,Data Analyst,Booking.com,57.611 €/año,Amsterdam,58,Yearly,58000,Not determined
264,Data Analyst,ING,59.864 €/año,Amsterdam,60,Yearly,60000,Not determined
265,Data Analyst - Por mes,ING,4.732 €/mes,Amsterdam,5,Monthly,60000,Not determined
266,Data Analyst,Optiver,43.339 €/año,Amsterdam,43,Yearly,43000,Not determined
267,Data Analyst - Por mes,Motivaction International,2.700 €/mes,Amsterdam,3,Monthly,36000,Not determined
268,Data Analyst - Por mes,ING,1.538 €/mes,Amsterdam,2,Monthly,24000,Not determined
269,Data Analyst - Por mes,Rabobank,1.539 €/mes,Amsterdam,2,Monthly,24000,Not determined
270,Data Analyst - Por mes,PwC,3.823 €/mes,Amsterdam,4,Monthly,48000,Not determined
271,Data Analyst - Becario por mes,NIKE,801 €/mes,Amsterdam,801,Monthly,9612,Internship
272,Data Analyst - Por mes,Akzo Nobel Worldwide,2.523 £/mes,Amsterdam,3,Monthly,36000,Not determined
273,Data Analyst - Por mes,Elsevier,3.695 €/mes,Amsterdam,4,Monthly,48000,Not determined
274,Data Analyst,Elsevier,71.212 €/año,Amsterdam,71,Yearly,71000,Not determined
275,Data Analyst - Por mes,adidas,2.991 €/mes,Amsterdam,3,Monthly,36000,Not determined
276,Data Analyst,Tata Consultancy Services,40.000 €/año,Amsterdam,40,Yearly,40000,Not determined
277,Data Analyst,TNT Express,149.440 €/año,Amsterdam,149,Yearly,149000,Not determined
278,Data Analyst,Catawiki,47.298 €/año,Amsterdam,47,Yearly,47000,Not determined
279,Data Analyst - Becario por mes,Ahold Delhaize,508 €/mes,Amsterdam,508,Monthly,6096,Internship
280,Data Analyst - Proveedor de servicios,Juniper Networks,38.061 €/año,Amsterdam,38,Yearly,38000,Not determined
281,Data Analyst,Spotzer,28.084 €/año,Amsterdam,28,Yearly,28000,Not determined
282,Data Analyst - Proveedor de servicios por mes,Staples,4.634 €/mes,Amsterdam,5,Monthly,60000,Not determined
283,Data Analyst,Takeaway.com,50.558 €/año,Amsterdam,51,Yearly,51000,Not determined
284,Data Analyst,Bynder,56.000 €/año,Amsterdam,56,Yearly,56000,Not determined
285,Data Analyst,eBay,96.059 €/año,Amsterdam,96,Yearly,96000,Not determined
286,Data Analyst - Por mes,Diageo,5.484 €/mes,Amsterdam,5,Monthly,60000,Not determined
287,Data Analyst - Por mes,IQVIA,3.384 €/mes,Amsterdam,3,Monthly,36000,Not determined
288,Data Analyst,IQVIA,39.940 €/año,Amsterdam,40,Yearly,40000,Not determined
289,Data Analyst - Por mes,LeasePlan Nederland NV,4.045 €/mes,Amsterdam,4,Monthly,48000,Not determined
290,Data Analyst - Por mes,MessageBird,3.600 €/mes,Amsterdam,4,Monthly,48000,Not determined
291,Data Analyst,Pathé,31.672 €/año,Amsterdam,32,Yearly,32000,Not determined
292,Data Analyst - Por mes,EVBox,4.570 €/mes,Amsterdam,5,Monthly,60000,Not determined
293,Data Analyst - Becario por mes,FedEx,299 €/mes,Amsterdam,299,Monthly,3588,Internship
294,Data Analyst - Por mes,Quby,3.675 €/mes,Amsterdam,4,Monthly,48000,Not determined
295,Data Analyst,DS Smith,39.357 €/año,Amsterdam,39,Yearly,39000,Not determined
296,Data Analyst,Zivver,42.468 €/año,Amsterdam,42,Yearly,42000,Not determined
297,Data Analyst - Por mes,Priogen Group,1.868 €/mes,Amsterdam,2,Monthly,24000,Not determined
298,Data Analyst,YGroup,44.866 €/año,Amsterdam,45,Yearly,45000,Not determined
299,Data Analyst - Por hora,Dutchwebshark,12 €/h,Amsterdam,12,Hourly,21600,Not determined
300,Data Analyst - Por mes,MeMo²,2.571 €/mes,Amsterdam,3,Monthly,36000,Not determined
301,Data Analyst - Proveedor de servicios por mes,Databased Consultancy,5.143 €/mes,Amsterdam,5,Monthly,60000,Not determined
302,Data Analyst - Por hora,Stichting Compuact Modulaire Opleidingen,11 €/h,Amsterdam,11,Hourly,19800,Not determined
303,Data Analyst,BIRD,42.872 €/año,Amsterdam,43,Yearly,43000,Not determined
304,Data Analyst - Por mes,DDB Unlimited,2.803 €/mes,Amsterdam,3,Monthly,36000,Not determined
305,Senior Data Analyst - Por mes,Shell,6.007 €/mes,Amsterdam,6,Monthly,72000,Senior Position
306,Senior Data Analyst - Por mes,Elsevier,6.177 €/mes,Amsterdam,6,Monthly,72000,Senior Position
307,Senior Data Analyst,Tommy Hilfiger,42.697 €/año,Amsterdam,43,Yearly,43000,Senior Position
308,Senior Data Analyst - Proveedor de servicios por hora,eBay,117 €/h,Amsterdam,117,Hourly,210600,Senior Position
309,Senior Data Analyst - Por mes,IceMobile,4.407 €/mes,Amsterdam,4,Monthly,48000,Senior Position
310,Business Data Analyst,Rabobank,50.103 €/año,Amsterdam,50,Yearly,50000,Not determined
311,Business Data Analyst,Atradius,78.646 €/año,Amsterdam,79,Yearly,79000,Not determined
312,Master Data Analyst,Akzo Nobel Worldwide,29.378 €/año,Amsterdam,29,Yearly,29000,Not determined
313,Senior Business Data Analyst - Proveedor de servicios por hora,Atradius,86 €/h,Amsterdam,86,Hourly,154800,Senior Position
314,Customer Data Analyst,TNT Express,103.406 €/año,Amsterdam,103,Yearly,103000,Not determined
315,Data Analyst,Criteo,38.054 €/año,Barcelona,38,Yearly,38000,Not determined
316,Data Analyst,Ubiqum Code Academy,46.937 €/año,Barcelona,47,Yearly,47000,Not determined
317,Data Analyst,everis,27.576 €/año,Barcelona,28,Yearly,28000,Not determined
318,Data Analyst,Glovo,28.880 €/año,Barcelona,29,Yearly,29000,Not determined
