,job_title,company,salary,location,salary_mean,temp,seniority
342,Data Analyst,Ubisoft,33.432 €/año,Paris,33.432,Yearly,Not determined
343,Data Analyst - Becario por mes,Accor,1.237 €/mes,Paris,1.237,Monthly,Not determined
344,Data Analyst - Becario por mes,Air Liquide,1.411 €/mes,Paris,1.411,Monthly,Not determined
345,Data Analyst - Proveedor de servicios,LVMH,39.159 €/año,Paris,39.159,Yearly,Not determined
346,Data Analyst - Becario por mes,Veepee,1.543 €/mes,Paris,1.543,Monthly,Not determined
347,Data Analyst - Becario por mes,LVMH,1.253 €/mes,Paris,1.253,Monthly,Not determined
348,Data Analyst - Por mes,Criteo,4.277 €/mes,Paris,4.277,Monthly,Not determined
349,Data Analyst - Becario por mes,Sodexo,1.116 €/mes,Paris,1.116,Monthly,Not determined
350,Data Analyst - Por mes,Sodexo,3.088 €/mes,Paris,3.088,Monthly,Not determined
351,Data Analyst,BearingPoint,45.649 €/año,Paris,45.649,Yearly,Not determined
352,Data Analyst,Murex,46.663 €/año,Paris,46.663,Yearly,Not determined
353,Data Analyst,Nissan,35.327 €/año,Paris,35.327,Yearly,Not determined
354,Data Analyst - Becario por mes,Aubay,913 €/mes,Paris,913.0,Monthly,Not determined
355,Data Analyst,Keyrus,42.070 €/año,Paris,42.07,Yearly,Not determined
356,Data Analyst - Por mes,Cegedim,1.231 €/mes,Paris,1.231,Monthly,Not determined
357,Data Analyst,Yves Rocher,40.716 €/año,Paris,40.716,Yearly,Not determined
358,Data Analyst - Becario por mes,IQVIA,1.420 €/mes,Paris,1.42,Monthly,Not determined
359,Data Analyst - Por mes,numberly (1000mercis group),1.206 €/mes,Paris,1.206,Monthly,Not determined
360,Data Analyst,numberly (1000mercis group),37.258 €/año,Paris,37.258,Yearly,Not determined
361,Data Analyst - Becario por mes,Robert Bosch,1.320 €/mes,Paris,1.32,Monthly,Not determined
362,Data Analyst - Becario por mes,AG2R la Mondiale,776 €/mes,Paris,776.0,Monthly,Not determined
363,Data Analyst - Por mes,Arval BNP Paribas Group,1.500 €/mes,Paris,1.5,Monthly,Not determined
364,Data Analyst - Por mes,Réseau de Transport d'Electricité,1.116 €/mes,Paris,1.116,Monthly,Not determined
365,Data Analyst - Becario por mes,Réseau de Transport d'Electricité,870 €/mes,Paris,870.0,Monthly,Not determined
366,Data Analyst,Havas Media,36.221 €/año,Paris,36.221,Yearly,Not determined
367,Data Analyst - Becario por mes,CPAM,532 €/mes,Paris,532.0,Monthly,Not determined
368,Data Analyst - Becario por mes,Datawords,602 €/mes,Paris,602.0,Monthly,Not determined
369,Data Analyst,Arkema,45.537 €/año,Paris,45.537,Yearly,Not determined
370,Data Analyst,Sfeir,62.238 €/año,Paris,62.238,Yearly,Not determined
371,Data Analyst - Por mes,Air France-KLM,1.408 €/mes,Paris,1.408,Monthly,Not determined
372,Data Analyst - Becario por mes,BNP Paribas Personal Finance,1.300 €/mes,Paris,1.3,Monthly,Not determined
373,Data Analyst - Por mes,BNP Paribas Personal Finance,1.932 €/mes,Paris,1.932,Monthly,Not determined
374,Data Analyst - Becario por mes,Korian,1.000 €/mes,Paris,1.0,Monthly,Not determined
375,Data Analyst - Becario por mes,Louvre Hotels Group,1.323 €/mes,Paris,1.323,Monthly,Not determined
376,Data Analyst,Meero,44.949 €/año,Paris,44.949,Yearly,Not determined
377,Data Analyst - Becario por mes,Fifty-Five,940 €/mes,Paris,940.0,Monthly,Not determined
378,Data Analyst - Becario por mes,Contentsquare,1.035 €/mes,Paris,1.035,Monthly,Not determined
379,Data Analyst - Becario por mes,Dailymotion,1.223 €/mes,Paris,1.223,Monthly,Not determined
380,Data Analyst - Becario por mes,Reed Exhibitions,845 €/mes,Paris,845.0,Monthly,Not determined
381,Data Analyst,Artefact,39.954 €/año,Paris,39.954,Yearly,Not determined
382,Data Analyst,Meetic,60.929 €/año,Paris,60.929,Yearly,Not determined
383,Data Analyst - Becario por mes,GRTgaz,752 €/mes,Paris,752.0,Monthly,Not determined
384,Data Analyst,Ogilvy,33.121 €/año,Paris,33.121,Yearly,Not determined
385,Data Analyst,Boursorama,28.214 €/año,Paris,28.214,Yearly,Not determined
386,Data Analyst,Aptar,45.121 €/año,Paris,45.121,Yearly,Not determined
387,Data Analyst,EVANEOS,35.111 €/año,Paris,35.111,Yearly,Not determined
388,Data Analyst - Becario por mes,Jumia,1.044 €/mes,Paris,1.044,Monthly,Not determined
389,Data Analyst - Por mes,Euronext,1.521 €/mes,Paris,1.521,Monthly,Not determined
390,Data Analyst,Kapten,45.649 €/año,Paris,45.649,Yearly,Not determined
391,Data Analyst,Warner Bros.,60.027 €/año,Paris,60.027,Yearly,Not determined
392,Data Analyst - Por mes,ING,2.306 €/mes,Paris,2.306,Monthly,Not determined
393,Data Analyst - Becario por mes,Dataiku,1.200 €/mes,Paris,1.2,Monthly,Not determined
394,Data Analyst,ING,42.610 €/año,Paris,42.61,Yearly,Not determined
395,Data Analyst,PMU,41.000 €/año,Paris,41.0,Yearly,Not determined
396,Data Analyst - Becario por mes,TUI Group,521 €/mes,Paris,521.0,Monthly,Not determined
397,Data Analyst,Havas Worldwide,50.467 €/año,Paris,50.467,Yearly,Not determined
398,Data Analyst,Figaro Classifieds,45.461 €/año,Paris,45.461,Yearly,Not determined
399,Data Analyst,Vertone,39.240 €/año,Paris,39.24,Yearly,Not determined
400,Data Analyst - Becario por mes,AXA Partners,1.305 €/mes,Paris,1.305,Monthly,Not determined
401,Data Analyst,simply market,51.640 €/año,Paris,51.64,Yearly,Not determined
402,Data Analyst - Becario por mes,Frichti,879 €/mes,Paris,879.0,Monthly,Not determined
403,Data Analyst,Le Figaro,36.000 €/año,Paris,36.0,Yearly,Not determined
404,Data Analyst - Becario por mes,happn,834 €/mes,Paris,834.0,Monthly,Not determined
405,Data Analyst,Abbott,47.329 €/año,Paris,47.329,Yearly,Not determined
406,Data Analyst,Photobox,32.988 €/año,Paris,32.988,Yearly,Not determined
407,Data Analyst - Becario por mes,GreenFlex,1.006 €/mes,Paris,1.006,Monthly,Not determined
408,Data Analyst - Becario por mes,Linkfluence,828 €/mes,Paris,828.0,Monthly,Not determined
409,Data Analyst,Aircall,42.605 €/año,Paris,42.605,Yearly,Not determined
410,Data Analyst - Becario por mes,International Energy Agency,708 €/mes,Paris,708.0,Monthly,Not determined
411,Data Analyst,Holidog,31.342 €/año,Paris,31.342,Yearly,Not determined
412,Data Analyst,Back Market,48.124 €/año,Paris,48.124,Yearly,Not determined
413,Data Analyst - Becario por mes,Direct Assurance,1.623 €/mes,Paris,1.623,Monthly,Not determined
414,Data Analyst,Direct Assurance,45.000 €/año,Paris,45.0,Yearly,Not determined
415,Data Analyst,Fullsix,38.214 €/año,Paris,38.214,Yearly,Not determined
416,Data Analyst,Drivy,40.138 €/año,Paris,40.138,Yearly,Not determined
417,Data Analyst,Vestiaire Collective,39.954 €/año,Paris,39.954,Yearly,Not determined
418,Data Analyst,OpenClassrooms,50.192 €/año,Paris,50.192,Yearly,Not determined
419,Data Analyst,Proximity,59.329 €/año,Paris,59.329,Yearly,Not determined
420,Data Analyst - Becario por mes,Aurexia,1.831 €/mes,Paris,1.831,Monthly,Not determined
421,Data Analyst - Becario por mes,Privateaser,1.035 €/mes,Paris,1.035,Monthly,Not determined
422,Data Analyst,Smart AdServer,42.000 €/año,Paris,42.0,Yearly,Not determined
423,Data Analyst - Por mes,Lenôtre,2.507 €/mes,Paris,2.507,Monthly,Not determined
424,Data Analyst - Becario por mes,Vermeg,1.550 €/mes,Paris,1.55,Monthly,Not determined
425,Data Analyst - Becario por mes,Tinyclues,1.535 €/mes,Paris,1.535,Monthly,Not determined
426,Data Analyst - Becario por mes,European Securities and Markets Authority,1.674 €/mes,Paris,1.674,Monthly,Not determined
427,Data Analyst,Omnicom Media Group,38.000 €/año,Paris,38.0,Yearly,Not determined
428,Data Analyst,QuantCube Technology,38.098 €/año,Paris,38.098,Yearly,Not determined
429,Data Analyst - Becario por mes,Adot,1.014 €/mes,Paris,1.014,Monthly,Not determined
430,Data Analyst - Por mes,Kayrros,1.121 €/mes,Paris,1.121,Monthly,Not determined
431,Data Analyst - Becario por mes,Vrbo,1.553 €/mes,Paris,1.553,Monthly,Not determined
432,Data Analyst,Audika,40.057 €/año,Paris,40.057,Yearly,Not determined
433,Data Analyst,Ve Global,41.681 €/año,Paris,41.681,Yearly,Not determined
434,Data Analyst - Becario por mes,Mappy,1.604 €/mes,Paris,1.604,Monthly,Not determined
435,Data Analyst,YMCA,41.681 €/año,Paris,41.681,Yearly,Not determined
436,Data Analyst - Becario por mes,Ebiquity,1.035 €/mes,Paris,1.035,Monthly,Not determined
437,Data Analyst - Por mes,PSA Retail,1.205 €/mes,Paris,1.205,Monthly,Not determined
438,Data Analyst,Lincoln,38.548 €/año,Paris,38.548,Yearly,Not determined
439,Data Analyst,HomeExchange,38.548 €/año,Paris,38.548,Yearly,Not determined
440,Data Analyst,WeDigitalGarden,55.079 €/año,Paris,55.079,Yearly,Not determined
441,Data Analyst - Por mes,Schneider Electric,1.907 €/mes,Paris,1.907,Monthly,Not determined
442,Data Analyst,Lincoln (France),44.769 €/año,Paris,44.769,Yearly,Not determined
443,Data Analyst,MFG Labs,45.121 €/año,Paris,45.121,Yearly,Not determined
444,Data Analyst - Becario por mes,Dhatim,1.014 €/mes,Paris,1.014,Monthly,Not determined
445,Data Analyst,Maten,51.027 €/año,Paris,51.027,Yearly,Not determined
446,Data Analyst,gumi,41.760 €/año,Paris,41.76,Yearly,Not determined
447,Data Analyst,ici Barbès,31.447 €/año,Paris,31.447,Yearly,Not determined
448,Data Analyst - Becario por mes,IEIF,828 €/mes,Paris,828.0,Monthly,Not determined
449,Data Analyst - Becario por mes,Tripndrive,731 €/mes,Paris,731.0,Monthly,Not determined
450,Data Analyst - Becario,Hamamatsu Photonics,18.259 €/año,Paris,18.259,Yearly,Not determined
451,Data Analyst,noon,45.065 €/año,Paris,45.065,Yearly,Not determined
452,Data Analyst - Becario por mes,Selency,1.000 €/mes,Paris,1.0,Monthly,Not determined
453,Data Analyst,ALLO RESTO,38.100 €/año,Paris,38.1,Yearly,Not determined
454,Data Analyst - Becario por mes,BinckBank,1.221 €/mes,Paris,1.221,Monthly,Not determined
455,Data Analyst - Becario por mes,Twinin,809 €/mes,Paris,809.0,Monthly,Not determined
456,Data Analyst,R1,46.522 €/año,Paris,46.522,Yearly,Not determined
457,Data Analyst,SAIC,42.113 €/año,Paris,42.113,Yearly,Not determined
458,Data Analyst,Yoolook,50.721 €/año,Paris,50.721,Yearly,Not determined
459,Data Analyst,Hildnd,50.000 €/año,Paris,50.0,Yearly,Not determined
460,Data Analyst,Institut National de la Recherche Agronomique (INRA),45.121 €/año,Paris,45.121,Yearly,Not determined
461,Data Analyst - Becario por mes,Cybel,1.302 €/mes,Paris,1.302,Monthly,Not determined
462,Data Analyst - Por mes,Dave & Buster's,1.805 €/mes,Paris,1.805,Monthly,Not determined
463,Data Analyst - Por mes,Masa,2.031 €/mes,Paris,2.031,Monthly,Not determined
464,Senior Data Analyst,Criteo,55.500 €/año,Paris,55.5,Yearly,Senior Position
465,Senior Data Analyst,Fifty-Five,47.606 €/año,Paris,47.606,Yearly,Senior Position
466,Data Analyst Associate - Becario por mes,Fifty-Five,961 €/mes,Paris,961.0,Monthly,Not determined
467,Senior Data Analyst,KPMG,48.154 €/año,Paris,48.154,Yearly,Senior Position
468,Senior Data Analyst,SoLocal Group,50.466 €/año,Paris,50.466,Yearly,Senior Position
469,Senior Data Analyst,Avanade,40.104 €/año,Paris,40.104,Yearly,Senior Position
470,Senior Data Analyst,ALTEN,39.179 €/año,Paris,39.179,Yearly,Senior Position
471,Senior Data Analyst,Deloitte,42.951 €/año,Paris,42.951,Yearly,Senior Position
472,Senior Data Analyst,PwC,53.849 €/año,Paris,53.849,Yearly,Senior Position
473,Senior Data Analyst,SFR,52.075 €/año,Paris,52.075,Yearly,Senior Position
474,Senior Data Analyst,Air France,62.703 €/año,Paris,62.703,Yearly,Senior Position
475,Senior Data Analyst,IQVIA,39.386 €/año,Paris,39.386,Yearly,Senior Position
476,Senior Data Analyst,Blizzard Entertainment,47.505 €/año,Paris,47.505,Yearly,Senior Position
477,Senior Data Analyst,Reed Exhibitions,56.626 €/año,Paris,56.626,Yearly,Senior Position
478,Senior Data Analyst,PeopleDoc,53.076 €/año,Paris,53.076,Yearly,Senior Position
479,Senior Data Analyst,Freelance,7.214 €/año,Paris,7.214,Yearly,Senior Position
480,Senior Data Analyst,TSI Incorporated,48.623 €/año,Paris,48.623,Yearly,Senior Position
481,Business Data Analyst,Société Générale,40.126 €/año,Paris,40.126,Yearly,Not determined
482,Business Data Analyst,Amazon,41.773 €/año,Paris,41.773,Yearly,Not determined
483,Business Data Analyst,Publicis Groupe,55.371 €/año,Paris,55.371,Yearly,Not determined
484,Business Data Analyst - Becario por mes,TF1,1.149 €/mes,Paris,1.149,Monthly,Not determined
485,Business Data Analyst - Por mes,TechnipFMC,1.602 €/mes,Paris,1.602,Monthly,Not determined
486,Business Data Analyst,numberly (1000mercis group),38.251 €/año,Paris,38.251,Yearly,Not determined
487,Business Data Analyst,Withings,35.100 €/año,Paris,35.1,Yearly,Not determined
488,Business Data Analyst - Proveedor de servicios por mes,IPG Mediabrands,1.888 €/mes,Paris,1.888,Monthly,Not determined
489,Business Data Analyst,Data2Decisions,30.312 €/año,Paris,30.312,Yearly,Not determined
490,Junior Data Analyst - Proveedor de servicios,Ubisoft,36.812 €/año,Paris,36.812,Yearly,Junior Position
491,Junior Data Analyst,Criteo,42.433 €/año,Paris,42.433,Yearly,Junior Position
492,Junior Data Analyst - Por mes,Camaïeu,1.543 €/mes,Paris,1.543,Monthly,Junior Position
493,Junior Data Analyst,Artefact,38.000 €/año,Paris,38.0,Yearly,Junior Position
494,Junior Data Analyst,Reed Exhibitions,38.055 €/año,Paris,38.055,Yearly,Junior Position
495,Junior Data Analyst - Por mes,Aptar,1.725 €/mes,Paris,1.725,Monthly,Junior Position
496,Junior Data Analyst,GroupM,37.128 €/año,Paris,37.128,Yearly,Junior Position
497,Junior Data Analyst,Groupe Estia,37.120 €/año,Paris,37.12,Yearly,Junior Position
498,Marketing Data Analyst - Becario por mes,Dassault Systemes,979 €/mes,Paris,979.0,Monthly,Not determined
499,Marketing Data Analyst,Ubisoft,41.422 €/año,Paris,41.422,Yearly,Not determined
500,Marketing Data Analyst - Por mes,JCDecaux,1.552 €/mes,Paris,1.552,Monthly,Not determined
501,Data Analyst Intern - Por mes,Amazon,1.425 €/mes,Paris,1.425,Monthly,Not determined
502,Data Analyst Intern - Por mes,Criteo,1.522 €/mes,Paris,1.522,Monthly,Not determined
503,Data Analyst Intern,SoLocal Group,1.264 €/año,Paris,1.264,Yearly,Not determined
504,Data Analyst Intern - Por mes,Fifty-Five,1.254 €/mes,Paris,1.254,Monthly,Not determined
505,Data Analyst Intern - Por mes,Frichti,828 €/mes,Paris,828.0,Monthly,Not determined
506,Data Analyst Intern - Por mes,monAlbumPhoto.fr,834 €/mes,Paris,834.0,Monthly,Not determined
507,Data Analyst Intern - Por mes,Monbanquet.fr,816 €/mes,Paris,816.0,Monthly,Not determined
508,Associate Data Analyst - Becario por mes,Fifty-Five,963 €/mes,Paris,963.0,Monthly,Not determined
509,Master Data Analyst,Schneider Electric,57.800 €/año,Paris,57.8,Yearly,Not determined
510,Market Data Analyst,Groupe Crédit Agricole,37.181 €/año,Paris,37.181,Yearly,Not determined
511,Big Data Analyst - Becario por mes,Banque de France,1.100 €/mes,Paris,1.1,Monthly,Not determined
